CASE_ID;Региональный_филиал;Населенный_пункт;Код_открытия_обращения;Код_закрытия_обращения;Технология;Услуга;Количество_операций_в_выполнении_процесса;Общее_время_выполнения_процесса
482847231##8914303;Мурманский филиал ОАО «ххх»;КОВДОР;Отсутствие на всех каналах;Замена STB;FTTx;IP-TV;8;94:29:09
482847232##8914305;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;8;89:59:02
482847233##8914306;Архангельский филиал ОАО «ххх»;МИРНЫЙ;Искажение на всех каналах;Замена оптического волокна распределительного кабеля;FTTx;IP-TV;8;138:43:37
482847234##8914309;Мурманский филиал ОАО «ххх»;КОВДОР;Настройка клиентского оборудования;Выключен расчетной группой за неоплату;FTTx;ШПД;6;91:21:19
482847235##8914310;Коми филиал ОАО «ххх»;МИКУНЬ;Отсутствие на всех каналах;Замена STB;FTTx;IP-TV;14;94:27:14
482847236##8914313;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена коннектора;PON;IP-TV;8;89:52:28
482847237##8914314;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;"Нет зуммера ""ответ станции""";Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);Медная пара;ОТА;12;89:11:14
482847238##8914316;Калининградский филиал ОАО «ххх»;КАЛИНИНГРАД;01. Отсутствует синхронизация;Оптическое волокно в подъезде;PON;ШПД;8;91:05:03
482847239##8914318;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Проблемы с электропитанием;DOCSIS;ШПД;10;93:19:42
482847240##8914321;Псковский филиал ОАО «ххх»;ВЕЛИКИЕ ЛУКИ;"Нет зуммера ""ответ станции""";Комнатная проводка (в домовладении/квартире);Медная пара;ОТА;6;89:45:09
482847241##8914323;Коми филиал ОАО «ххх»;УХТА;01. Отсутствует синхронизация;Повреждение ОРШ;PON;ШПД;4;88:01:34
482847242##8914327;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Пульт охраны;Отказ от заявки/вызова;Медная пара;ОТА;6;112:15:19
482847243##8914328;Петербургский филиал ОАО «ххх» Ленинградская обл.;КИНГИСЕПП;Неустойчивое физическое соединение;Настройка CPE;xDSL;ШПД;4;93:16:17
482847244##8914331;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;Нет соединения от абонента / к абоненту;Комнатная проводка до клиента (до квартиры абонента/в подъезде);Медная пара;ОТА;12;92:16:01
482847245##8914334;Карельский филиал ОАО «ххх»;ЛАХДЕНПОХЬЯ;01. Отсутствует синхронизация;Не верная конфигурация порта;FTTx;ШПД;6;91:49:50
482847246##8914337;Мурманский филиал ОАО «ххх»;НИКЕЛЬ;Не получен IP-адрес;Замена STB;PON;IP-TV;8;88:58:30
482847247##8914338;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;Неустойчивое физическое соединение;Замена магистральной и распределительной пар;xDSL;ШПД;8;110:41:51
482847248##8914339;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПУШКИН;01. Отсутствует синхронизация;Замена оптического волокна распределительного кабеля;PON;ШПД;8;94:02:40
482847249##8914341;Мурманский филиал ОАО «ххх»;МУРМАНСК;Плохая слышимость;Замена пары в магистральном кабеле;Медная пара;ОТА;6;92:56:33
482847250##8914344;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Оптическое волокно в квартире;PON;ШПД;8;113:39:37
482847251##8914347;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Неисправен ТВ абонента;Прочее;Кабельное TV;4;90:33:26
482847252##8914349;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Повреждение не обнаружено, услуга работает;Прочее;Кабельное TV;6;96:17:58
482847253##8914352;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Неустойчивое логическое соединение;Настройка CPE;DOCSIS;ШПД;12;92:13:15
482847254##8914353;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Искажение на всех каналах;Замена распределительного кабеля ДРС;Прочее;Кабельное TV;4;92:02:12
482847255##8914354;Архангельский филиал ОАО «ххх»;ПОНОМАРЕВСКАЯ;Непрерывный зуммер «ответ станции»;Нарушение связи не обнаружено;Медная пара;ОТА;6;88:37:00
482847256##8914355;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Искажение на всех каналах;Отказ от заявки/вызова;Прочее;Кабельное TV;10;91:01:57
482847257##8914357;Калининградский филиал ОАО «ххх»;СЛАВИНСК;Неустойчивое физическое соединение;Кабельный ящик;xDSL;ШПД;6;91:21:27
482847258##8914361;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена CPE;DOCSIS;ШПД;16;114:24:47
482847259##8914362;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;8;118:48:46
482847260##8914363;Вологодский филиал ОАО «ххх»;ВОЛОГДА;"Нет зуммера ""ответ станции""";Станционный механизм;Медная пара;ОТА;6;88:28:38
482847261##8914368;Новгородский филиал ОАО «ххх»;ВЕЛИКИЙ НОВГОРОД;Искажение на всех каналах;Оптическое волокно в подъезде;PON;IP-TV;9;89:07:44
482847262##8914371;Мурманский филиал ОАО «ххх»;МУРМАНСК;Отсутствие на всех каналах;Замена STB;PON;IP-TV;8;89:01:50
482847263##8914372;Новгородский филиал ОАО «ххх»;СЫРКОВО;"Нет зуммера ""ответ станции""";Замена пары в распределительном кабеле;Медная пара;ОТА;6;92:15:31
482847264##8914374;Мурманский филиал ОАО «ххх»;АПАТИТЫ;01. Отсутствует синхронизация;Оптическое волокно в квартире;PON;ШПД;8;87:29:45
482847265##8914378;Вологодский филиал ОАО «ххх»;БЕЛОЗЕРСК;Отсутствие на всех каналах;Исправлена схема подключения;PON;IP-TV;9;87:33:39
482847266##8914379;Карельский филиал ОАО «ххх»;БЕЛОМОРСК;Подкл/откл услуг/пакетов/каналов;Отказ от заявки/вызова;FTTx;IP-TV;12;121:43:00
482847267##8914383;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КРОНШТАДТ;Отсутствие на одном/нескольких каналах;Повреждение в зоне ответственности абонента;Прочее;Кабельное TV;8;112:57:08
482847268##8914384;Вологодский филиал ОАО «ххх»;ЧЕРЕПОВЕЦ;01. Отсутствует синхронизация;Перезапуск CPE;PON;ШПД;8;86:52:11
482847269##8914387;Архангельский филиал ОАО «ххх»;ОНЕГА;01. Отсутствует синхронизация;Замена коннектора;xDSL;ШПД;6;92:51:55
482847270##8914388;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Неустойчивое логическое соединение;Заявка от абонента;PON;ШПД;6;98:14:17
482847271##8914390;Архангельский филиал ОАО «ххх»;СЕВЕРОДВИНСК;Неустойчивое физическое соединение;Замена CPE;PON;ШПД;12;89:14:57
482847272##8914394;Мурманский филиал ОАО «ххх»;КОВДОР;01. Отсутствует синхронизация;Замена патч-корда;FTTx;ШПД;6;92:18:51
482847273##8914396;Псковский филиал ОАО «ххх»;ПСКОВ;02. Не отображаются стр., нет авторизации;Оставлено до вторичного заявления;FTTx;ШПД;8;92:13:09
482847274##8914398;Коми филиал ОАО «ххх»;СОСНОГОРСК;"Нет зуммера ""ответ станции""";Распределительная коробка;Медная пара;ОТА;6;88:16:44
482847275##8914400;Вологодский филиал ОАО «ххх»;ЧЕРЕПОВЕЦ;01. Отсутствует синхронизация;Оптические оконечные устройства распред.;PON;ШПД;10;99:10:19
482847276##8914401;Мурманский филиал ОАО «ххх»;КИРОВСК;"Нет зуммера ""ответ станции""";Распределительная коробка;Медная пара;ОТА;6;91:16:43
482847277##8914402;Петербургский филиал ОАО «ххх» Ленинградская обл.;КИРИШИ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;8;88:05:47
482847278##8914403;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Настройка клиентского оборудования;Кабельные оконечные устройства (КРТ, КЯ);DOCSIS;ШПД;12;100:30:46
482847279##8914405;Калининградский филиал ОАО «ххх»;КАЛИНИНГРАД;"Нет зуммера ""ответ станции""";Обрыв провода (ВЛС-сталь, ПРППМ);Медная пара;ОТА;10;91:31:03
482847280##8914406;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КРАСНОЕ СЕЛО;Замена (восстановление) проводки;Комнатная проводка (в домовладении/квартире);Прочее;Кабельное TV;8;95:11:44
482847281##8914408;Архангельский филиал ОАО «ххх»;СЕВЕРОДВИНСК;01. Отсутствует синхронизация;Замена патч-корда;PON;ШПД;10;93:40:57
482847282##8914411;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;03. Не отображ. стр., авторизация пройдена;Замена CPE;PON;ШПД;14;98:18:31
482847283##8914412;Коми филиал ОАО «ххх»;ПЕЧОРА;01. Отсутствует синхронизация;Распределительная коробка;FTTx;ШПД;6;89:43:55
482847284##8914418;Вологодский филиал ОАО «ххх»;ЮБИЛЕЙНЫЙ;01. Отсутствует синхронизация;Замена патч-корда;PON;ШПД;8;91:41:30
482847285##8914419;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;8;93:41:45
482847286##8914420;Мурманский филиал ОАО «ххх»;МУРМАНСК;Другая проблема;Абонент не отвечает на вызов;PON;IP-TV;4;113:41:27
482847287##8914421;Карельский филиал ОАО «ххх»;СЕГЕЖА;"Нет зуммера ""ответ станции""";Замена коннектора;Медная пара;ОТА;12;114:44:08
482847288##8914422;Мурманский филиал ОАО «ххх»;СЕВЕРОМОРСК;Неустойчивое логическое соединение;Повреждение ОРК;PON;ШПД;9;87:25:12
482847289##8914424;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Потеря пакетов / Высокий пинг;Повреждение в зоне ответственности абонента;PON;ШПД;8;93:55:18
482847290##8914425;Вологодский филиал ОАО «ххх»;ЧЕРЕПОВЕЦ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;6;89:05:18
482847291##8914426;Калининградский филиал ОАО «ххх»;ХОЛМОГОРОВКА;Замена клиентского оборудования;Замена пульта STB;PON;IP-TV;6;112:39:36
482847292##8914428;Архангельский филиал ОАО «ххх»;ОНЕГА;01. Отсутствует синхронизация;Замена магистральной и распределительной пар;xDSL;ШПД;6;93:20:18
482847293##8914430;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Искажение на всех каналах;Дана консультация;Прочее;Кабельное TV;10;95:54:44
482847294##8914432;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПЕТЕРГОФ;Нет соединения от абонента / к абоненту;Отказ от заявки/вызова;Медная пара;ОТА;6;90:07:52
482847295##8914433;Мурманский филиал ОАО «ххх»;АПАТИТЫ;Отсутствие на всех каналах;Замена блока питания STB;PON;IP-TV;10;92:53:13
482847296##8914435;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;Нет соединения от абонента / к абоненту;Отказ от заявки/вызова;Медная пара;ОТА;6;91:09:14
482847297##8914436;Вологодский филиал ОАО «ххх»;ПОЖАРА;03. Не отображ. стр., авторизация пройдена;Исправлена схема подключения;xDSL;ШПД;9;88:33:41
482847298##8914437;Псковский филиал ОАО «ххх»;ДНО;01. Отсутствует синхронизация;Замена пары в магистральном кабеле;xDSL;ШПД;6;93:52:01
482847299##8914439;Новгородский филиал ОАО «ххх»;ВЕЛИКИЙ НОВГОРОД;"Нет зуммера ""ответ станции""";Абонентский комплект (с заменой платы);Медная пара;ОТА;6;92:24:50
482847300##8914440;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена STB;PON;IP-TV;15;96:14:08
482847301##8914444;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;8;97:12:12
482847302##8914448;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;08. Не отображаются стр., есть синхр.;Настройка CPE;xDSL;ШПД;8;90:31:03
482847303##8914449;Мурманский филиал ОАО «ххх»;МУРМАНСК;Замена клиентского оборудования;Замена STB;PON;IP-TV;8;87:42:37
482847304##8914450;Вологодский филиал ОАО «ххх»;ВОЛОГДА;Плохая слышимость;Распределительный кабель;Медная пара;ОТА;10;122:20:13
482847305##8914452;Петербургский филиал ОАО «ххх» Ленинградская обл.;ТИХВИН;"Нет зуммера ""ответ станции""";Оставлено до вторичного заявления;Медная пара;ОТА;4;91:20:24
482847306##8914453;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Непрерывный зуммер «ответ станции»;Замена магистральной и распределительной пар;Медная пара;ОТА;8;134:53:42
482847307##8914455;Мурманский филиал ОАО «ххх»;КАНДАЛАКША;01. Отсутствует синхронизация;Шнур (м/телефонный, розеточный);xDSL;ШПД;6;86:54:00
482847308##8914458;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Исправлена схема подключения;PON;ШПД;8;92:03:50
482847309##8914462;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;8;90:57:40
482847310##8914464;Мурманский филиал ОАО «ххх»;КИРОВСК;Отсутствие на всех каналах;Замена STB;PON;IP-TV;9;87:25:46
482847311##8914465;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Неисправность домового усилителя;Прочее;Кабельное TV;4;90:00:11
482847312##8914468;Калининградский филиал ОАО «ххх»;БАЛТИЙСК;Замена клиентского оборудования;Перезапуск CPE;PON;ШПД;4;96:59:14
482847313##8914469;Новгородский филиал ОАО «ххх»;ВАЛДАЙ;01. Отсутствует синхронизация;Кроссовый шнур в КРОССе (кроссировка),  телекоммуникационном шкафу;xDSL;ШПД;6;93:35:03
482847314##8914470;Архангельский филиал ОАО «ххх»;ИСКАТЕЛЕЙ;01. Отсутствует синхронизация;Кабельные оконечные устройства (КРТ, КЯ);xDSL;ШПД;8;116:59:52
482847315##8914472;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Неисправность домового усилителя;Прочее;Кабельное TV;4;89:58:21
482847316##8914474;Вологодский филиал ОАО «ххх»;ГЕОРГИЕВСКАЯ;"Нет зуммера ""ответ станции""";Сообщение провода (ВЛС, наброс, короткое, обрыв);Медная пара;ОТА;6;90:26:59
482847317##8914475;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Муфта (ВОЛС);PON;ШПД;14;112:57:23
482847318##8914476;Вологодский филиал ОАО «ххх»;КАДУЙ;01. Отсутствует синхронизация;Изменение скорости ШПД;xDSL;ШПД;6;89:22:34
482847319##8914477;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Муфта магистрального кабеля;Медная пара;ОТА;8;117:02:03
482847320##8914480;Коми филиал ОАО «ххх»;ВОРКУТА;Неустойчивое физическое соединение;Комнатная проводка (в домовладении/квартире);xDSL;ШПД;10;95:20:37
482847321##8914483;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена коннектора;PON;IP-TV;10;97:25:11
482847322##8914485;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Распределительная коробка;Медная пара;ОТА;6;88:00:12
482847323##8914486;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КОЛПИНО;Неустойчивое физическое соединение;Замена CPE;PON;ШПД;16;139:34:39
482847324##8914487;Мурманский филиал ОАО «ххх»;СЕВЕРОМОРСК;Отсутствие на всех каналах;Замена STB;PON;IP-TV;8;88:42:44
482847325##8914488;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Оставлено до вторичного заявления;PON;IP-TV;8;94:12:27
482847326##8914490;Архангельский филиал ОАО «ххх»;БЕРЕЗНИК;Неустойчивое физическое соединение;Замена коннектора;xDSL;ШПД;6;93:26:44
482847327##8914492;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КРАСНОЕ СЕЛО;Отсутствие на всех каналах;Исправлена схема подключения;Прочее;Кабельное TV;10;95:30:31
482847328##8914497;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;8;92:17:58
482847329##8914500;Псковский филиал ОАО «ххх»;НЕВЕЛЬ;Отсутствие на всех каналах;Исправлена схема подключения;xDSL;IP-TV;8;89:22:41
482847330##8914502;Коми филиал ОАО «ххх»;СЕВЕРНЫЙ;01. Отсутствует синхронизация;Отказ от заявки/вызова;xDSL;ШПД;6;86:53:47
482847331##8914503;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;"Нет зуммера ""ответ станции""";Отказ от заявки/вызова;Медная пара;ОТА;6;92:59:45
482847332##8914505;Новгородский филиал ОАО «ххх»;ВЕЛИКИЙ НОВГОРОД;Низкая скорость;Консультация по прочим вопросам с указанием причины;xDSL;ШПД;11;142:28:02
482847333##8914506;Коми филиал ОАО «ххх»;ВУКТЫЛ;02. Не отображаются стр., нет авторизации;Распределительная коробка;FTTx;ШПД;8;89:43:48
482847334##8914507;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КОЛПИНО;Плохая слышимость;Замена пары в магистральном кабеле;Медная пара;ОТА;6;91:33:08
482847335##8914510;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Муфта магистрального кабеля;Медная пара;ОТА;8;116:30:58
482847336##8914511;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Низкая скорость;Кабельные оконечные устройства (КРТ, КЯ);DOCSIS;ШПД;12;122:07:13
482847337##8914512;Коми филиал ОАО «ххх»;ИНТА;Неустойчивое физическое соединение;Комнатная проводка (в домовладении/квартире);xDSL;ШПД;8;93:21:42
482847338##8914514;Вологодский филиал ОАО «ххх»;ВОЛОГДА 20;01. Отсутствует синхронизация;Повреждение ОРШ;PON;ШПД;6;88:51:24
482847339##8914515;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена CPE;PON;SIP;16;93:51:12
482847340##8914518;Петербургский филиал ОАО «ххх» Ленинградская обл.;НЕЖНОВО;01. Отсутствует синхронизация;Повреждение абонентской линии от ветхости проводов;xDSL;ШПД;4;88:49:52
482847341##8914519;Мурманский филиал ОАО «ххх»;МУРМАНСК;Не получен IP-адрес;Настройка CPE;PON;IP-TV;8;95:48:57
482847342##8914520;Мурманский филиал ОАО «ххх»;МУРМАНСК;Отсутствие на всех каналах;Замена блока питания STB;PON;IP-TV;10;86:33:39
482847343##8914521;Вологодский филиал ОАО «ххх»;ВОЛОГДА;Другая ошибка;Исправлена схема подключения;PON;IP-TV;9;95:37:59
482847344##8914522;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Исправлена схема подключения;PON;ШПД;8;91:03:31
482847345##8914523;Петербургский филиал ОАО «ххх» Ленинградская обл.;СЛАНЦЫ;Непрерывный зуммер «ответ станции»;Необнаруженные повреждения;Медная пара;ОТА;4;88:07:55
482847346##8914527;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена клиентского оборудования;Повреждение в зоне ответственности абонента;PON;ШПД;12;137:02:39
482847347##8914528;Новгородский филиал ОАО «ххх»;ТЁСОВО-НЕТЫЛЬСКИЙ;01. Отсутствует синхронизация;Обрыв провода (ВЛС-сталь, ПРППМ);xDSL;ШПД;6;118:02:29
482847348##8914530;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Комнатная проводка до клиента (до квартиры абонента/в подъезде);Медная пара;ОТА;6;91:25:45
482847349##8914533;Петербургский филиал ОАО «ххх» Ленинградская обл.;КРАСНАЯ ДОЛИНА;"Нет зуммера ""ответ станции""";Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);Медная пара;ОТА;6;89:01:35
482847350##8914534;Новгородский филиал ОАО «ххх»;ВЕЛИКИЙ НОВГОРОД;Замена (восстановление) проводки;Оставлено до вторичного заявления;PON;IP-TV;8;92:06:38
482847351##8914538;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена клиентского оборудования;Отказ от заявки/вызова;PON;IP-TV;8;90:19:58
482847352##8914544;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;8;89:46:44
482847353##8914546;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Повреждение не обнаружено, услуга работает;PON;ШПД;8;89:08:12
482847354##8914547;Вологодский филиал ОАО «ххх»;ЧЕРЕПОВЕЦ;Не получен IP-адрес;Замена блока питания STB;PON;IP-TV;10;93:50:36
482847355##8914549;Петербургский филиал ОАО «ххх» Ленинградская обл.;ВЫБОРГ;"Нет зуммера ""ответ станции""";Станционный механизм;Медная пара;ОТА;6;86:04:53
482847356##8914550;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена STB;PON;IP-TV;10;91:37:07
482847357##8914551;Карельский филиал ОАО «ххх»;ОЛОНЕЦ;Отсутствие на всех каналах;Замена патч-корда;FTTx;IP-TV;8;87:10:21
482847358##8914552;Петербургский филиал ОАО «ххх» Ленинградская обл.;ПАША;Неустойчивое физическое соединение;Шнур (м/телефонный, розеточный);xDSL;ШПД;6;87:29:34
482847359##8914553;Коми филиал ОАО «ххх»;СЫКТЫВКАР;01. Отсутствует синхронизация;Исправлена схема подключения;PON;ШПД;8;87:55:16
482847360##8914554;Мурманский филиал ОАО «ххх»;НИКЕЛЬ;03. Не отображ. стр., авторизация пройдена;Замена оптического коннектора;PON;ШПД;8;94:59:07
482847361##8914555;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Муфта магистрального кабеля;Медная пара;ОТА;10;115:05:46
482847362##8914556;Вологодский филиал ОАО «ххх»;ЧЕРЕПОВЕЦ;Низкая скорость;Дана консультация;PON;ШПД;4;88:39:47
482847363##8914557;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Оптическое волокно в квартире;PON;ШПД;16;115:13:40
482847364##8914558;Мурманский филиал ОАО «ххх»;МУРМАНСК;03. Не отображ. стр., авторизация пройдена;Замена коннектора;PON;ШПД;9;90:04:39
482847365##8914559;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена/ремонт домового усилителя;Прочее;Кабельное TV;6;89:08:11
482847366##8914563;Мурманский филиал ОАО «ххх»;НИКЕЛЬ;Отсутствие на всех каналах;Замена блока питания STB;PON;IP-TV;8;95:07:28
482847367##8914565;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;01. Отсутствует синхронизация;Распределительная коробка;xDSL;ШПД;6;88:11:01
482847368##8914566;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена STB;xDSL;IP-TV;22;92:21:22
482847369##8914567;Мурманский филиал ОАО «ххх»;МУРМАНСК;Отсутствие на всех каналах;Замена блока питания STB;PON;IP-TV;9;90:19:31
482847370##8914568;Архангельский филиал ОАО «ххх»;САВИНСКИЙ;Замена клиентского оборудования;Замена блока питания CPE;Медная пара;ОТА;8;87:27:30
482847371##8914569;Мурманский филиал ОАО «ххх»;МУРМАНСК;Нет соединения от абонента / к абоненту;Неисправный аппарат;Медная пара;ОТА;8;87:35:53
482847372##8914570;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Оптическое волокно в подъезде;PON;ШПД;8;88:46:23
482847373##8914571;Архангельский филиал ОАО «ххх»;ДРЕСВЯНКА;01. Отсутствует синхронизация;Отказ от заявки/вызова;xDSL;ШПД;6;88:15:50
482847374##8914572;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена/ремонт домового усилителя;Прочее;Кабельное TV;4;89:04:53
482847375##8914573;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Другая проблема;Неисправен ТВ абонента;PON;IP-TV;8;91:17:11
482847376##8914575;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена STB;xDSL;IP-TV;14;95:10:40
482847377##8914576;Новгородский филиал ОАО «ххх»;МОШЕНСКОЕ;Нет соединения от абонента / к абоненту;Распределительный кабель (замена участка);Медная пара;ОТА;6;89:14:35
482847378##8914577;Архангельский филиал ОАО «ххх»;СЕВЕРОДВИНСК;01. Отсутствует синхронизация;Замена патч-корда;PON;ШПД;16;91:15:35
482847379##8914578;Мурманский филиал ОАО «ххх»;МУРМАНСК;Искажение на всех каналах;Замена коннектора;PON;IP-TV;8;87:39:22
482847380##8914580;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Муфта магистрального кабеля;Медная пара;ОТА;8;91:58:02
482847381##8914581;Новгородский филиал ОАО «ххх»;ВЕЛИКИЙ НОВГОРОД;01. Отсутствует синхронизация;Повреждение ОРК;PON;ШПД;8;88:08:20
482847382##8914582;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Нет соединения от абонента / к абоненту;Отказ от заявки/вызова;Медная пара;ОТА;6;86:31:27
482847383##8914583;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Неисправность домового усилителя;Прочее;Кабельное TV;4;89:16:25
